# orders.log — every order executed in this worktree, one line per order.
# Format: ORDER-ID | ts | actor | order | evidence
ORD-20260905-001 | 2026-09-05T22:40:00-07:00 | claude | Create worktree named for the project (vault-custody) off main c165c5b. Receipt store stays pinned to repo root via .timmy/store-pin. Path ownership: claude = workers/**, companion/**, fleet/**, lanes/**, vault-custody/**; qwen = src/tui/** and everything the TUI renders. | branch worktree-vault-custody
ORD-20260905-002 | 2026-09-05T22:41:00-07:00 | claude | Write product + paper design tokens (navy #0A1628, phosphor #33FF66 chain, orange #FF8C1A human, red #FF3B3B refusal only; Space Grotesk / JetBrains Mono; 8px grid; ×1.333) to design/tokens.json. Cyan/green/amber + Outfit/Inter/Fira Code system deprecated. Qwen seals design.lock from it. | design/tokens.json
ORD-20260905-003 | 2026-09-05T22:57:00-07:00 | claude | Write the ledger as a tldraw board (kind: mission): one frame per project in the ORDER OF BUILD, first deliverable as the capsule node, harness/gate/artifact nodes, depends edges; generated through the tldraw schema so every record validates (104 records); sealed. | companion/boards/ledger.tldr sha256 30b056d8… · companion/boards/ledger.mission.json sha256 e5d99168… · receipt board.ledger sha256_c9fe3f339
ORD-20260905-004 | 2026-09-05T22:57:00-07:00 | claude | Vault Custody tap-to-verify core: NTAG 424 DNA SUN verifier in WebCrypto (AES-CMAC, session keys SV1/SV2, PICC decrypt, file data, TagTamper mirror), /t URL scheme (e/c/d/tt and u/n/c), edge receipt chain (canon+sha256, prev→this), tap handler (verify → replay → seal custody.tap → redirect). 28 tests pass incl. NXP AN12196 sun1/sun2/sun3/plain vectors and corrupted-CMAC refusals. | vault-custody/src/lib/{sun,url,chain,store,tap,registry}.ts · vault-custody/test/*.test.ts
ORD-20260905-005 | 2026-09-05T23:10:00-07:00 | claude | Six custody pages on Astro 5 + @astrojs/cloudflare (Pages): /r/<serial> sealed+opened, /c/<id>, /relic/<id>, /m, /log, /s/<id>, plus /verify (refusal surface), /t (on-demand tap), /api/chain/<serial>. Paper mode for customer pages, product mode (navy/phosphor/orange/red) for /log and /verify. Build green; wrangler pages dev smoke: AN12196 URL → 200 json + 302 /r/VC0007?tap=d7f9945d&n=61&tt=CC (replayChecked true with KV); second tap → 302 /verify?refused=replay; plain tag → /r/VC0003; bad cmac → /verify?refused=bad_cmac; all 9 routes 200. | vault-custody/src/{layouts,pages}/** · vault-custody/README.md · vault-custody/wrangler.jsonc
ORD-20260905-006 | 2026-09-05T23:10:00-07:00 | claude | Code Mode on timmy-ai-proxy: POST /code runs one agent-authored (or approval-gated model-generated) script per task in a Dynamic Worker isolate (@cloudflare/codemode DynamicWorkerExecutor, worker_loaders LOADER binding) against the edge tools (tools_list, custody_verify_tap, custody_chain, openrouter_models, openrouter_chat[PAID], receipt_seal, receipt_verify); every run seals one code.run receipt (script_sha256, output_sha256, exact tool calls, model, ms, error); paid tools refuse without the operator approval token; /health reports code_mode:true when LOADER is bound. 7 vitest green, tsc clean; wrangler dev smoke: 401 without token; script called the custody edge and sealed receipt ec_mtpewry9_nc83 (run run_mtpewrxn_rimc). Undeployed (owner's word). | workers/ai-proxy/src/{index,code,tools,chain}.ts · workers/ai-proxy/test/code.test.ts · workers/ai-proxy/wrangler.toml
ORD-20260906-007 | 2026-09-06T00:00:00-07:00 | claude | Commit worktree-vault-custody (owner's word). | commit 327f923
ORD-20260906-008 | 2026-09-06T00:06:00-07:00 | claude | Deploy PREVIEW only: KV namespaces CUSTODY_KV 8d783470266e44d9ab49143de5b88436 + SESSION 59bbc4e347164eb8b3abf4b447feb62c; Pages project vault-custody, preview branch → https://preview.vault-custody.pages.dev; worker timmy-ai-proxy-preview (LOADER worker_loaders bound, CUSTODY_KV bound, cron 5 9 * * *) → https://timmy-ai-proxy-preview.wmeldman33.workers.dev; secrets TIMMY_EDGE_TOKEN (generated, in workers/ai-proxy/.dev.vars, ignored) + OPENROUTER_API_KEY. Config lesson: wrangler resolves wrangler.json(c) before .toml walking up, so the worker config is now wrangler.jsonc; a mis-deploy of the companion code under the preview name was deleted and redeployed clean. Live proof: AN12196 tap sealed 3a4e8a67… on the preview edge; /code run run_mtpgzhv8_wkoj on the live LOADER. Production worker untouched. | vault-custody/wrangler.jsonc · workers/ai-proxy/wrangler.jsonc
ORD-20260906-009 | 2026-09-06T00:08:00-07:00 | claude | Edge-chain → root-chain anchor as a daily cron, not a manual seal: worker cron (09:05 UTC) walks every chain in CUSTODY_KV and publishes head:<date> (public GET /head, /api/head); local LaunchAgent dev.timmy.anchor (09:30 local) runs lanes/anchor/anchor-edge-head.mjs which pulls the head and seals chain.anchor into the ROOT chain via the canonical CLI (store-pin preflight). First anchor sealed sha256_3b4e3acd0 (head 31e07b1c…, VC0007 flagged ok:false → genesis mismatch found and fixed, worker redeployed, re-anchored). | workers/ai-proxy/src/head.ts · lanes/anchor/* · ~/Library/LaunchAgents/dev.timmy.anchor.plist
ORD-20260906-010 | 2026-09-06T00:09:00-07:00 | claude | "Tap this" QR of the AN12196 vector (real /t address on the preview edge; demo tags record but never refuse replay, receipt says replay=demo-vector) exported as PNG for the deck. | vault-custody/public/qr/an12196-tap.png · renders/qr-an12196-tap.png sha256 a264a54b62015eb5d2d1a057f89055ef24cebd1183a326b750d4653b475717d5
ORD-20260906-011 | 2026-09-06T00:25:00-07:00 | claude | PITCH SITE on the custody API, product-mode tokens: (1) Gateway with a Three.js sealed box (custody band glowing phosphor, chip window, reveal tag) and six HATS Manufacturer · Distributor · Retailer · Collector · Seller · Grader (hats, not accounts; every chain event stamps its hat); (2) sign-in stub per hat with seeded sessions (vc_hat + vc_session cookies, no real auth); (3) profile + three inventory sheets locations/boxes/singles with the column set serial · thumbnail · product · manufactured · received · sold · counterparty (hash+city+hat) · price-if-disclosed · state · tamper · taps · chain head · verify, seeded from VC0007 + Series 001, filtered by hat; (4) product provenance /p/VC0007: interactive 3D timeline (Three.js, marker shape = hat, orange = human, phosphor = chain) and a TRAVEL MAP (city-level points, arcs between transfers), same list two views, live taps from /api/chain join the list; Rive badge slot wired (/rive/badges.riv, CSS fallback until the artboard is exported); (5) "tap this" QR on the gateway. Deployed to the preview. | vault-custody/src/pages/{index,demo,me,hat/[hat],me/[sheet],p/[serial]}.astro · signin.ts · signout.ts · src/scripts/{gateway-box,provenance}.ts · src/data/{hats,events,inventory}.json
ORD-20260906-012 | 2026-09-06T00:26:00-07:00 | claude | Walkthrough recorded with Playwright (Chromium, 1440×900) against the live preview: gateway → Collector → tap → receipt → card → timeline → map; Manufacturer → where-the-boxes-went; WebM → MP4 via ffmpeg; 14 review shots. Sealed render.review (v1 sha256_cfed15968 on 9cee38c0…; superseded by v2 after the lid-text fix). | renders/walkthrough/walkthrough.mp4 sha256 65a1d6ccf85ad7495eba5485027fab71dc21d061567aa3c109000bca370afd1b · 38.1 s · 4,135,990 bytes · render.review v2
ORD-20260906-013 | 2026-09-06T00:40:00-07:00 | claude | Rive badge for state transitions authored through the desktop bridge in William's open Rive file: artboard Badge 0-14 (240×72), BadgeVM 0-26 {state:number 0-28} bound via instance Default 0-73, layouts PillSealed 0-34 / PillOpened 0-46 / PillVerified 0-58, timelines T_Sealed 0-70 / T_Opened 0-71 / T_Verified 0-72 (opacity crossfade, oneShot), state machine State 0-75 layer Badge with any-state transitions gated by state==0/1/2 (constantValueType; values verified 0/1/2), 200 ms transition duration. Provenance page binds BadgeVM.state via autoBind. EXPORT IS MANUAL: Rive → Badge → Export → Download for runtime → vault-custody/public/rive/badges.riv (CSS fallback until then). | orders.log · vault-custody/README.md (Rive badge section)
ORD-20260906-014 | 2026-09-06T01:35:00-07:00 | claude | Visual overhaul of the pitch site (design-taste-frontend, overhaul mode, brand tokens preserved; dials 8/7/4): Product layout on the 1.333 type scale + 8px grid, fixed grain layer, shape rule panels 8 / controls 4 / chips pill; gateway rebuilt as hero split (Three.js box with RoomEnvironment IBL, warm key + soft shadow catcher, phosphor rim, UnrealBloom on band and chip only, ACES, camera dolly + band ignite intro, pointer parallax, reduced-motion still) → seal anatomy (deck diagram on a paper card, three facts) → six-hat bento on the deck renders (6 cells, 5 imaged, 1 tinted) → tap band → footer; scroll reveals gated on motion preference; provenance timeline gets fog + bloom + ACES. Zero eyebrows, zero em-dashes, one CTA per intent. Walkthrough re-recorded and sealed render.review v3, then v4 after the lighting correction (the glossy band was reflecting the HDR room panels and blowing out under bloom; band made matte, environment 0.3, bloom threshold 1.05). | vault-custody/src/{layouts/Product,pages/index,components/PitchNav}.astro · src/scripts/{gateway-box,provenance}.ts · renders/walkthrough/walkthrough.mp4 sha256 fb77251c… (render.review v4)
ORD-20260906-015 | 2026-09-06T03:30:00-07:00 | claude | 30 s deck cut: gateway hero → one tap → receipt → provenance timeline → map → QR end card (/deck/end), 1440×900, trimmed to exactly 30.0 s; sealed render.review v5 in the ROOT chain citing v4 (fork rc_mtpk3dfl_sy3c). | renders/walkthrough-deck/walkthrough-deck-30s.mp4 sha256 7a339f0ac35345dab060c191eccfdf4a181adad7e20d938d9ecd3fae83aa36e3 · vault-custody/scripts/walkthrough-deck.mjs · src/pages/deck/end.astro
ORD-20260906-016 | 2026-09-06T03:32:00-07:00 | claude | FORK DISCLOSED. Every seal run from this worktree (ORD-001..014, board.ledger, render.review v1-v4, anchor.mismatch/anchor.fix first copies) landed in a worktree-local store, not the root chain: the branch's committed receipts.ts resolves the store from cwd, the store-pin walk-up is uncommitted in main, and the baseline vitest created .timmy/ here. The chain.anchor receipts (cwd = main) are in the root chain. Remedy per DOCTRINE §4: .timmy/receipts/FROZEN.txt in the worktree; fork.attest sealed in root (fork head sha256_10bf74b4a…, 34 receipts); anchor.mismatch and anchor.fix re-sealed in root citing the fork copies; all further seals via lanes/anchor/seal-root.mjs (cwd main, pin preflight prints the store and STOPs otherwise). Root chain verify ok, 810 receipts, 6 epochs. | .claude/worktrees/vault-custody/.timmy/receipts/FROZEN.txt · lanes/anchor/seal-root.mjs
